ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,Dropout,Active_Period,Contract_Duration,PercentageOfVisits,MonthlyValue,PercentageOfClasses,Freq_Visits_Day,Visits_ActivePeriod,Gender_Female
15689,0.5833333333333334,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.4794520547945205,-0.5,0.07459775719161389,0.0,0.009940357852882713,-0.6007326007326007,1
15690,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.958904109589041,0.049999999999999975,-0.8093612871769869,0.0,-0.2196819085487077,0.10256410256410244,0
15691,-0.9166666666666666,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.9337899543378996,-0.5,0.06289614822038044,1.5128389728821694,-0.10934393638170971,-0.6007326007326007,0
15692,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,-0.317351598173516,-0.39999999999999997,0.029741589468551898,0.0,-0.33399602385685884,-0.5018315018315017,1
15693,-1.1666666666666667,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-0.01639344262295082,1.41324200913242,-0.5,0.12725499756216477,1.2479001679865611,-0.22166998011928432,-0.6007326007326007,1
15694,1.6666666666666667,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.4474885844748858,-0.050000000000000044,-0.1053144807411019,2.2798176145908324,-0.3558648111332008,-0.20146520146520147,1
15695,0.9166666666666666,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.4885844748858447,0.24999999999999994,0.627986348122867,0.0,0.5675944333996026,0.3040293040293039,1
15696,0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01092896174863388,-0.3287671232876712,-0.10000000000000002,0.13554363725012195,0.0,0.9155069582504972,0.41025641025641013,1
15697,0.5833333333333334,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.7785388127853882,0.0,-0.2944904924427108,0.0,-0.08349900596421463,0.00366300366300364,1
15698,0.8333333333333334,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.9315068493150684,-0.5,1.6611409068746952,1.1427885769138468,0.4463220675944335,-0.6007326007326007,0
15699,3.6666666666666665,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,-0.2648401826484018,0.85,-0.11847879083373962,0.0,1.68986083499006,1.399267399267399,1
15700,-0.3333333333333333,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05251141552511415,-0.3,-0.5719161384690394,0.0,-0.4095427435387674,-0.39926739926739924,1
15701,-1.6666666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.63013698630137,1.8499999999999999,0.718186250609459,1.7876169906407486,0.20775347912524852,0.9999999999999999,1
15702,0.8333333333333334,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.994535519125683,-0.3219178082191781,-0.5,1.1789371038517795,0.0,-0.47813121272365805,-0.6007326007326007,0
15703,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.1735159817351598,1.4000000000000001,-1.0014627011214041,0.0,-0.27435387673956263,1.637362637362637,1
15704,0.5833333333333334,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.8698630136986302,0.0,-0.4212579229644076,0.0,0.26938369781312127,0.6007326007326007,0
15705,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.4132420091324201,-0.35000000000000003,0.11116528522671872,0.0,-0.13121272365805173,-0.39560439560439553,1
15706,0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.07077625570776255,0.7499999999999999,-0.3398342272062408,0.051115910727141826,1.1510934393638173,2.4505494505494503,1
15707,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.9836065573770492,-0.2762557077625571,-0.35000000000000003,0.6060458313018039,2.3998080153587713,-0.5178926441351889,-0.46520146520146516,1
15708,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.17123287671232876,0.5499999999999999,-0.9351535836177474,0.0,-0.2932405566600398,0.6007326007326007,1
15709,1.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9246575342465753,-0.050000000000000044,0.41199414919551447,0.0,0.35188866799204777,-0.20146520146520147,0
15710,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.4018264840182648,-0.15,-0.87908337396392,0.0,-0.4254473161033797,-0.39926739926739924,1
15711,-0.9166666666666666,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,1.595890410958904,-0.5,-0.698196001950268,2.0568754499640027,-0.7077534791252486,-0.6007326007326007,0
15712,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,0.15753424657534246,0.6999999999999998,-0.5714285714285713,0.0,-0.023856858846918485,0.8241758241758239,1
15713,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01092896174863388,-0.2511415525114155,-0.39999999999999997,-0.3291077523159434,0.0,-0.352882703777336,-0.39926739926739924,0
15714,-0.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.5547945205479452,0.5,0.9619697708434911,0.0,0.2147117296222665,0.619047619047619,1
15715,2.0833333333333335,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,1.7442922374429224,0.24999999999999994,0.3744514870794734,0.0,1.9721669980119285,0.3040293040293039,1
15716,0.9166666666666666,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3059360730593607,0.3,0.026328620185275604,0.0,-0.021868787276341888,1.399267399267399,1
15717,-0.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,-0.4406392694063927,-0.35000000000000003,0.47684056557776694,0.0,-0.4065606361829026,-0.20146520146520147,0
15718,2.6666666666666665,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-0.4748858447488584,-0.10000000000000002,0.9678205753291077,0.0,-0.16799204771371767,0.3992673992673992,1
15719,0.4166666666666667,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.1415525114155251,-0.45,-0.029741589468551898,0.0,-0.33399602385685884,-0.5018315018315017,0
15720,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,-0.19406392694063926,-0.15,-0.6435884934178449,0.0,-0.25049701789264417,-0.19780219780219785,1
15721,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01092896174863388,0.7054794520547946,-0.10000000000000002,-0.6572403705509506,0.0,-0.010934393638171011,0.41025641025641013,1
15722,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.0730593607305936,-0.35000000000000003,-0.9215017064846415,0.0,-0.49105367793240556,-0.19413919413919414,1
15723,0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.0958904109589041,-0.35000000000000003,-0.9449049244271086,0.0,-0.7365805168986084,-0.39560439560439553,0
15724,1.0833333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.3356164383561644,0.3999999999999999,0.12579229644076068,0.0,1.8240556660039764,0.8241758241758239,0
15725,0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01092896174863388,0.1461187214611872,0.5,-0.37786445636274985,0.0,0.9314115308151094,1.8278388278388276,0
15726,1.6666666666666667,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.14383561643835616,-0.20000000000000004,-0.5294978059483179,1.2630189584833214,-0.2176938369781312,-0.5018315018315017,1
