ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,HasReferences,NumberOfReferences,Dropout,Active_Period,Contract_Duration,PercentageOfVisits,TotalNumberOfActivities,MonthlyValue,PercentageOfClasses,Freq_Visits_Day,Freq_Classes_Contract,Visits_ActivePeriod,Gender_Female
10058,-0.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,351,0.0,1,43.28,0.0,0.1225,0.0,0.0,1
10059,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,656,0.02,1,7.19,0.0,0.0198,0.0,0.0027,0
10060,2.4166666666666665,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,1746,0.4,1,35.51,0.0,0.2119,0.0,0.1093,1
10061,-1.3333333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,789,0.29,1,32.65,90.28,0.0913,0.0824,0.0273,0
10062,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,196,0.28,1,12.27,0.0,0.0765,0.0,0.0444,1
10063,1.75,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,1137,0.26,1,36.79,0.0,0.2515,0.0,0.0874,1
10064,1.6666666666666667,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,181,103,0.03,1,25.53,0.0,0.0485,0.0,0.011,0
10065,-1.1666666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,699,0.06,1,13.37,65.0,0.0286,0.0186,0.0027,1
10066,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,198,0.03,1,7.52,0.0,0.0051,0.0,0.0056,1
10067,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,284,0.06,1,19.32,0.0,0.088,0.0,0.0219,1
10068,1.6666666666666667,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,1140,0.41,1,23.61,0.0,0.1877,0.0,0.0492,1
10069,1.25,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,183,1307,0.0,3,21.14,94.44,0.0138,0.013,0.0,0
10070,0.3333333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,282,0.0,1,34.47,0.0,0.0816,0.0,0.0,0
10071,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,29,0.28,1,30.0,0.0,0.2759,0.0,0.0437,1
10072,-1.6666666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,757,0.33,1,34.85,82.86,0.0462,0.0383,0.0273,0
10073,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,180,237,0.02,1,10.09,0.0,0.0127,0.0,0.0056,1
10074,-1.6666666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,150,0.16,1,49.28,100.0,0.0867,0.0867,0.0082,0
10075,-0.08333333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,1051,0.49,1,39.38,0.0,0.392,0.0,0.0824,1
10076,-1.1666666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,775,0.35,1,28.33,100.0,0.0826,0.0826,0.0328,0
10077,-1.6666666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,1056,0.41,1,34.45,84.48,0.1098,0.0928,0.0383,0
10078,1.1666666666666667,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,364,348,0.0,2,11.01,0.0,0.0057,0.0,0.0,0
10079,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,996,0.15,1,2.68,0.0,0.007,0.0,0.0328,1
10080,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,151,0.22,1,23.4,0.0,0.0861,0.0,0.0273,0
10081,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,151,0.23,1,25.4,0.0,0.1921,0.0,0.0384,0
10082,0.6666666666666666,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,1201,0.15,2,33.84,11.27,0.1774,0.02,0.0492,1
10083,2.1666666666666665,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,239,0.14,1,33.37,79.17,0.1004,0.0795,0.0137,1
10084,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,217,0.18,1,10.56,0.0,0.0553,0.0,0.0328,0
10085,2.8333333333333335,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,241,0.0,1,22.91,0.0,0.0249,0.0,0.0,0
10086,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,180,55,0.03,1,61.6,0.0,0.0182,0.0,0.0056,1
10087,-0.08333333333333333,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,364,305,0.08,1,20.7,0.0,0.0721,0.0,0.0137,1
10088,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,232,0.2,1,31.23,100.0,0.0862,0.0862,0.0192,1
10089,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,189,0.2,1,13.77,0.0,0.0741,0.0,0.0328,1
10090,-0.6666666666666666,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,776,0.18,1,10.31,100.0,0.0232,0.0232,0.0082,1
10091,-1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,754,0.24,1,29.84,0.0,0.069,0.0,0.0219,0
10092,-1.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,1191,0.24,1,31.93,85.98,0.0898,0.0772,0.0219,1
10093,1.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,181,95,0.1,1,20.53,0.0,0.2,0.0,0.0331,1
10094,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,95,0.0,1,28.7,0.0,0.0316,0.0,0.0,1
10095,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,183,1025,0.78,1,20.98,0.0,0.2839,0.0,0.2514,0
10096,-1.25,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,183,761,0.29,3,29.76,92.5,0.0526,0.0486,0.0273,0
10097,0.5,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,1079,0.0,2,23.15,100.0,0.0065,0.0065,0.0,0
10098,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,181,298,0.07,1,24.06,0.0,0.1242,0.0,0.0221,0
10099,-0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,364,92,0.0,1,59.3,0.0,0.0326,0.0,0.0,1
10100,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,88,0.02,1,32.7,0.0,0.0682,0.0,0.0027,1
10101,-0.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,343,0.0,1,26.33,0.0,0.0933,0.0,0.0,1
10102,0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,183,283,0.4,2,34.51,7.69,0.2756,0.0212,0.0109,1
10103,0.9166666666666666,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,364,392,0.0,1,31.22,0.0,0.1097,0.0,0.0,0
10104,-0.5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,656,0.11,1,23.77,102.08,0.0732,0.0747,0.0027,1
10105,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,103,0.07,1,22.67,0.0,0.0777,0.0,0.011,1
10106,-0.25,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,712,0.02,1,9.9,0.0,0.2191,0.0,0.0027,1
10107,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,29,0.07,1,48.0,0.0,0.069,0.0,0.0109,1
10108,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,55,0.06,1,41.6,0.0,0.0545,0.0,0.0164,1
10109,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,48,0.27,1,96.2,0.0,0.2708,0.0,0.071,1
10110,0.75,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,375,0.21,1,16.52,0.0,0.0347,0.0,0.0333,0
10111,0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,180,12,0.07,2,33.6,0.0,0.1667,0.0,0.0111,0
10112,-0.6666666666666666,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,299,0.06,1,27.9,100.0,0.097,0.097,0.0027,1
10113,0.6666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,48,0.42,1,71.7,0.0,0.4375,0.0,0.1093,1
10114,0.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,364,106,0.03,1,37.13,0.0,0.066,0.0,0.0055,1
