ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,Dropout,Contract_Duration,PercentageOfVisits,PercentageOfClasses,Freq_Visits_Day,Freq_Classes_Contract,Visits_ActivePeriod,Gender_Female
21754,3.75,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.5616438356164384,1.6999999999999997,0.0,3.2703777335984094,0.0,1.8021978021978022,1
21755,0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.5296803652968036,0.09999999999999995,0.0,0.4333996023856859,0.0,0.3992673992673992,0
21756,-0.25,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-0.3105022831050228,-0.15,0.0,0.7445328031809145,0.0,-0.19780219780219785,1
21757,-0.6666666666666666,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.1598173515981735,-0.5,2.239740820734341,-0.3449304174950298,3.238095238095238,-0.6007326007326007,0
21758,-1.25,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-0.365296803652968,-0.15,0.0,-0.07554671968190851,0.0,0.20879120879120877,0
21759,-1.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.2876712328767123,0.049999999999999975,0.7998560115190784,-0.17097415506958252,1.619047619047619,-0.39926739926739924,0
21760,2.0833333333333335,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.584474885844749,4.15,0.0,2.5049701789264414,0.0,10.809523809523807,1
21761,0.75,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.4794520547945205,-0.5,0.0,-0.46421471172962225,0.0,-0.6007326007326007,0
21762,-0.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.18949771689497716,-0.25,0.0,-0.41650099403578533,0.0,0.01098901098901092,1
21763,0.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.05707762557077625,0.0,0.0,0.4234592445328032,0.0,0.00366300366300364,0
21764,0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-0.0639269406392694,-0.5,0.0,-0.617296222664016,0.0,-0.6007326007326007,0
21765,0.3333333333333333,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.3333333333333333,-0.5,0.0,-0.7077534791252486,0.0,-0.6007326007326007,1
21766,1.3333333333333333,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.050228310502283,-0.5,0.8608111351091912,-0.2107355864811133,1.626984126984127,-0.6007326007326007,0
21767,-1.5833333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8105022831050228,0.3999999999999999,1.8946484281257499,-0.1779324055666004,3.793650793650794,-0.30036630036630035,1
21769,0.8333333333333334,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.084474885844749,0.09999999999999995,0.03479721622270218,-0.356858846918489,0.047619047619047616,0.20146520146520136,1
21770,-0.16666666666666666,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5114155251141552,-0.15,0.0,0.7206759443339962,0.0,-0.19780219780219785,1
21771,2.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.2511415525114153,-0.5,0.0,-0.6739562624254474,0.0,-0.6007326007326007,0
21772,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.2808219178082192,-0.15,0.0,-0.4483101391650099,0.0,-0.19413919413919414,1
21773,-0.25,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.7168949771689497,-0.5,2.3998080153587713,-0.6819085487077534,0.7777777777777778,-0.6007326007326007,0
21774,0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.264840182648402,1.3,0.0,-0.05765407554671968,0.0,3.875457875457875,1
21775,-0.3333333333333333,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-0.4885844748858447,0.85,2.3998080153587713,0.7365805168986084,12.103174603174603,0.3040293040293039,0
21776,0.6666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.1164383561643834,0.0,0.0,-0.647117296222664,0.0,0.2124542124542124,1
21777,0.16666666666666666,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.6598173515981736,0.5,0.0,1.4473161033797217,0.0,0.619047619047619,0
21778,3.5833333333333335,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.4589041095890411,-0.15,0.0,0.1868787276341948,0.0,-0.19413919413919414,1
